"Date","Venue","Venue Address","Event Type","Event Details","Start Time","Ward","Location"
"11/21/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"11/22/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"11/23/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"11/24/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"11/25/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"11/26/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"11/27/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"11/28/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"11/29/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"11/30/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/01/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/02/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/03/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/04/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/05/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/06/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/07/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/08/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/09/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/10/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/11/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/12/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/13/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/14/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/15/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/16/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/17/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/18/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/19/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
