"trip_id","taxi_id","trip_start_timestamp","trip_end_timestamp","trip_seconds","trip_miles","pickup_census_tract","dropoff_census_tract","pickup_community_area","dropoff_community_area","fare","tips","tolls","extras","trip_total","payment_type","company","pickup_centroid_latitude","pickup_centroid_longitude","pickup_centroid_location","dropoff_centroid_latitude","dropoff_centroid_longitude","dropoff_centroid_location"
"6ed9af5d9c52fdf5535fb38b760bc0bae8a5bd51","e3231f11a2e775788c4bcc58852ae4d4e3b2d78e8a2cb482b9fbdb5bf1830d8dae2ca6bb57db22d6114520b480fc36a1230e7ad84611c41004be995076d7a898","2026-05-01T00:00:00.000","2026-05-01T00:30:00.000","1672","18.25",,,"76","28","45.5","10","0","4","60","Credit Card","Sun Taxi","41.980264315","-87.913624596","POINT (-87.913624596 41.9802643146)","41.874005383","-87.66351755","POINT (-87.6635175498 41.874005383)"
"c107c04a1b74fa964072ae605bca82d9aa76d2eb","38d00610debf2306201a33902c298ea78df627880d3d19d0e190983205911a16a3ff9b26c952506731328985f618da9b074ef0d8d89970493748c8f8d2087f08","2026-05-01T00:00:00.000","2026-05-01T00:00:00.000","399","1.38",,,"8","8","6.75","0","0","0","6.75","Cash","Flash Cab","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)"
"497b50a57cb828b7d2b8f4cff0e09394fdb539ec","b972ec70e50b0f04e4fa382c61337d527d0cdfcf2c3007f28776933fe723960f4f35af95829923b98de387e054b62c6e7b1d233e0783c19d80e4226f45581494","2026-05-01T00:00:00.000","2026-05-01T00:00:00.000","600","1.7",,,"28","8","8.75","2","0","0","10.75","Credit Card","Transit Administrative Center Inc","41.874005383","-87.66351755","POINT (-87.6635175498 41.874005383)","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)"
"f48c3b6c5c3bb929f585a167a9fd1f7280eafaf2","85c39e068db414d181c6252a89fd822afc2e169a9a9e853a14000c4e8d301ab4158f92ddb7d420aad7b979d438b7b61b5bd888bc8803a0050af936b7f6c3e370","2026-05-01T00:00:00.000","2026-05-01T00:00:00.000","398","1.16",,,"32","8","6.75","2","0","1","10.25","Credit Card","Blue Ribbon Taxi Association","41.878865584","-87.625192142","POINT (-87.6251921424 41.8788655841)","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)"
"14272d1dedb28d0954d3fff687788f379e0eabf7","2bb3cec6c1f7c3ea064aff56988b02be67da8f90a02af8ffe64d88b042564125da6abbcd3448bd6f7bc0836827aa8c40007fb6a72e8acd3122983486e6c26222","2026-05-01T00:00:00.000","2026-05-01T00:15:00.000","1632","18.59",,,"76","8","46.25","10.15","0","4","60.9","Credit Card","Sun Taxi","41.980264315","-87.913624596","POINT (-87.913624596 41.9802643146)","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)"
"c245a51b52b8d78b6320fac83b6a9dbb4c9e0f69","119db775284b2ff29c31eba3cd0166a049b0a48e4f3a6ccbfbf4ce07aa861fcf363a52f35885851d6948616b46b4f77eaba65ab72567e7ebe624d243b0c8d82e","2026-05-01T00:00:00.000","2026-05-01T00:15:00.000","1212","10.77",,,"56","33","29.25","7.35","0","7","44.1","Mobile","Medallion Leasin","41.79259236","-87.769615453","POINT (-87.7696154528 41.7925923603)","41.857183858","-87.620334624","POINT (-87.6203346241 41.8571838585)"
"baecce6901ab1ef6ffeaae590b41fbfa4aa3faaa","ca83178fa4ea3bcd66fe18442103abfb68222d7a44086870f2a2ad16a8ae091062277415b3eb36b5208e701f033ff98c5a3a1ec47abe044b0c475d49e7bb1950","2026-05-01T00:00:00.000","2026-05-01T00:15:00.000","1261","11.82",,,"42","7","30.75","0","0","0","30.75","Prcard","Flash Cab","41.77887686","-87.594925439","POINT (-87.5949254391 41.7788768603)","41.922686284","-87.649488729","POINT (-87.6494887289 41.9226862843)"
"2a8a4f2ebf353692695b453f97a76bd57aa6247a","0ee86e2a204cc2224e9ff2494686ee474cce6aba093a1b9eb96b84fb0210d351254024e4ce9c9304e90372c6899ed1d35e8dce702882ba12d72ca651de70ad16","2026-05-01T00:00:00.000","2026-05-01T00:30:00.000","1923","21.48","17031980000",,"76",,"52","15","0","36.5","104","Credit Card","Sun Taxi","41.97907082","-87.903039661","POINT (-87.9030396611 41.9790708201)",,,
"2e96dbb28bb463f8bc6151f00aeecbee8bcd4706","34766262f2e312774b1ad4651b99dc23b780dbd00b658fd9425073c510a15d39b21d2c5835fdf71c447ecadcdf2211013d245331c588b302a74eb3128c5b0f83","2026-05-01T00:00:00.000","2026-05-01T00:15:00.000","1269","13.04",,,"56","39","33","7.7","0","5","46.2","Credit Card","Taxicab Insurance Agency Llc","41.79259236","-87.769615453","POINT (-87.7696154528 41.7925923603)","41.808916283","-87.596183344","POINT (-87.5961833442 41.8089162826)"
"c53dc818bc94e87ad7dc88f3725edf99afdda4aa","d6e1a9e103336c396201abe9ceb00795fcd41e14ccbf548bddc575066b1624fed9b5b8f6a4da7feaac63928742dc21554af766c0e71eef4bfa910191fe8ad001","2026-05-01T00:00:00.000","2026-05-01T00:00:00.000","422","1.57",,,"32","28","7.36","0","0","0","7.86","Mobile","Flash Cab","41.878865584","-87.625192142","POINT (-87.6251921424 41.8788655841)","41.874005383","-87.66351755","POINT (-87.6635175498 41.874005383)"
"9e3f618498fc014a30379126a03d428d01c1ddf1","3f959f9e67fb058ff7179003776c6db313d0faee0424799df92ca0c07134836fa6186ac7217c193dd51d147dce90dcc8e8e9abc840fec1fc9ed67de76e72556a","2026-05-01T00:00:00.000","2026-05-01T00:00:00.000","16","0",,,"24","24","12","0","0","0","12.5","Credit Card","Sun Taxi","41.901206994","-87.676355989","POINT (-87.6763559892 41.9012069941)","41.901206994","-87.676355989","POINT (-87.6763559892 41.9012069941)"
"e4d6e70bb24a040d511144a0b9f827d279e9b9c2","137d4f780c3823fdc5f26cec160a8c9f8eb952f769c5bc70d0bc747b3eda1d77f6c5df60f9caccccfecc6ded275a85c2cb5afcf4994f42473c445e8ef4a71e35","2026-05-01T00:00:00.000","2026-05-01T00:00:00.000","146","0.41",,,"28","28","8.5","1.2","0","0","10.2","Mobile","5 Star Taxi","41.874005383","-87.66351755","POINT (-87.6635175498 41.874005383)","41.874005383","-87.66351755","POINT (-87.6635175498 41.874005383)"
